Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Niger,NER,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9029292541.17269,8989609784.55338,9169469614.56501,9198963715.64248,9369584143.73417,9599817699.28189,9609468444.43798,9756250740.94943,10729204061.621,10705646750.9039,10576271392.6843,11344969065.2611,11902968030.7845,12161335090.5516,12205578219.7796,13100475206.1661,13877470937.4878,14313601558.8515,15420245386.499,15722883262.058,17071618405.0803,17474125672.1112,19317461504.3835,20344209818.8535,21695500036.2081,22648507165.1493,23941572538.4699,25138435012.4332,26953222042.0265,28544214619.8074,28972379421.1939
Niger,NER,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6130487231.24137,6309951367.66167,6582872920.62355,6760515476.9764,7032948301.42995,7356857744.38064,7499095386.20823,7744931208.3811,8613167363.23259,8718340248.18975,8805522033.61938,9652699667.26045,10287657352.9455,10706160888.1824,11034391226.9781,12212333971.8195,13328143214.4493,14116293010.9088,15503491543.2257,15928273689.6012,17496153307.7067,18282764961.5946,20618757380.2004,20860788569.3309,21982232411.6596,22912137965.4102,23875418393.0485,25138435012.4332,27600363812.9013,29751347687.1439,30563399689.4192
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,4196092258.15484,4467200335.99328,4909302953.94092,5165489010.2198,5552822483.55033,5874422511.54977,6366792664.14672,5203135937.28125,5200895982.08036,6634187316.25367,12545849083.0183,9181769911.50443,12274416017.7976,15162871287.1287,24846641318.1242,27778934624.6973,36308883248.731,36035407725.3219,36527862208.7133,47259911894.2731,64201788122.6054,164475209515.19,142769363313.375,97094911790.6948,73484359521.0997,73745821156.2996,54805852581.1516,52676041930.5791,49648470439.7963,44003061108.3357,54035795388.0915,49118433047.5318,47794925814.7558,27752204320.0883,33833042987.7582,44062465800.1706,51075815092.5,54457835193.4927,54604050168.1818,59372613485.6576,69448756932.5833,74030364472.0506,95385819320.5737,104911947834.122,136385979322.437,176134087150.341,236103982431.635,275625684968.615,337035512676.936,291880204327.419,361456622215.721,404993594133.582,455501524575.498,508692961937.492,546676374567.721,486803295097.89,404650006428.613,375746469538.666,397190484464.308,448120428858.769,432293776262.398
Nigeria,NGA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,61407215816.3385,61524992086.487,64049357952.2601,69543908291.9808,72986671585.0947,76552053586.6176,73298197687.8736,61758401962.2465,60987434623.5788,75744798340.0755,94686483306.8859,108167501250.475,111806539424.122,117835998300.678,130987290572.304,124139605687.366,135364745470.183,143519277259.508,135246598794.501,144388499231.74,150459791675.488,130707610046.245,121815063124.406,108507882039.608,107297342914.22,113641864269.32,113711123610.793,117350022236.436,125956502777.93,128374088334.158,143492558283.965,144006767603.816,150675998868.22,147609563324.76,144930561220.046,144825247765.892,150902005160.521,155334147078.485,159343716123.037,160274485623.743,168313749255.077,178274026161.332,205601929272.338,220707903878.763,241124617041.963,256649465356.273,272200955002.138,290142074789.495,309768656455.714,334664531364.212,361456622215.721,380642465752.065,396743874911.807,423211989457.897,449915475309.982,461850352958.58,454382838006.505,458044648499.498,466851735606.204,477161826016.253,468600335245.226
Nigeria,NGA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2059.134699889,2082.69313194978,2173.309019528,2125.63969121645,2079.13438715687,2069.02413997752,2141.34801212017,2187.13500532952,2213.01665664337,2202.40995166816,2306.11452279705,2434.24621930855,2780.79229751906,2964.36299241115,3241.72449622315,3467.10515604015,3690.84024899033,3934.84253684898,4170.73291406376,4420.974011199,4703.20483066808,4922.70234464027,4982.94539878236,5225.17293432225,5507.16949454144,5426.33278732294,5234.67912691071,5190.35612668836,5278.84839470055,5352.67942303108,5186.72348377932
Nigeria,NGA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3259.64290040807,3189.08907136026,3253.69442114382,3108.67471825696,2977.09016501163,2901.76822713651,2949.2003567185,2961.19846923008,2962.89211246602,2906.72396750425,2977.04147454063,3075.00313052884,3458.07066646502,3619.14020790471,3854.00806390933,3997.43975061575,4130.40330626342,4288.27030694183,4458.62229484372,4690.37944900228,4932.33479996173,5056.89214708727,5131.3726452234,5329.12151659822,5516.38559753258,5514.77027265177,5284.89322799694,5190.35612668836,5155.07599367409,5135.49946875343,4916.72138086439
Nigeria,NGA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,310358599711.53,311470777836.836,325895590531.836,319263228179.704,313468841684.775,313241060282.361,326384417250.402,335970652075.625,344642908316.617,346656060234.375,364044102047.63,385587083999.677,444694328612.319,477366887957.523,521525989891.598,555104526933.413,588740686241.184,627545352358.029,669995486886.938,723842522354.13,781790864062.299,823287730557.914,858113305207.652,915360921849.015,973117620702.128,998931446583.028,982780034192.258,990700126987.351,1009748886411.97,1032048476445.27,1013530914845.45
Nigeria,NGA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,196055267892.985,203411706380.198,217682343407.73,218304792643.338,218919754500.113,223347719261.476,236980380622.156,248147221995.91,257417573015.81,262659531968.492,282000569306.88,305239982399.302,357598985974.352,391001358105.168,438671520353.205,481459606032.987,526086113116.86,575824742732.046,626734458459.32,682266544598.871,745473030025.964,801440949035.347,833291994452.731,897506108480.495,971491854689.888,982912105652.4,973442207702.023,990700126987.351,1033992766474.73,1075693742556.29,1069189036829.47
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4699646643.10954,4938775510.20408,2436849341.97604,2682456896.55172,3556581986.14319,4680078740.15748,4651453634.08521,3928975903.61446,3756208791.20879,3863743409.49033,3773653058.12718,3709479717.81305,3994762861.1154,4948324125.2302,5682776765.83688,6257800770.94745,6862881738.06108,8338305008.94454,9911371237.45819,9406125226.86025,9412311665.9492,10494822518.6525,9743277661.79541,10816616379.3103,11361563307.4935,10071243243.2432,10680463278.8651,11310265324.7941,12679934731.3891,12547086168.4896,12266949805.1436
North Macedonia,MKD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7697464781.43291,7222472115.05945,6748302471.32509,6244253450.343,6134469097.90634,6066086471.98326,6137975898.6566,6226361606.04173,6436733905.14757,6716025585.98234,7021546709.10223,6806177852.52376,6907839381.07181,7061373133.6408,7391428039.45763,7740605651.95271,8138242511.94872,8665070571.39311,9139223353.51773,9106448740.75946,9412311665.9492,9632549033.15179,9588606960.45675,9869098420.48675,10227260191.7624,10621609552.3164,10924134787.2329,11042309099.238,11360393491.8192,11720989518.407,11189794856.6502
